,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer
707,Kolhapur,Dark Brown,120,75,60,6.0,700,25,Wheat,Urea
709,Kolhapur,Dark Brown,105,80,40,6.5,800,15,Wheat,Urea
711,Kolhapur,Dark Brown,115,80,40,6.5,800,15,Wheat,Urea
712,Kolhapur,Dark Brown,120,80,40,6.5,800,15,Wheat,Urea
713,Kolhapur,Dark Brown,100,60,50,7.0,900,20,Wheat,19:19:19 NPK
714,Kolhapur,Dark Brown,105,60,50,7.0,900,20,Wheat,19:19:19 NPK
716,Kolhapur,Dark Brown,115,60,50,7.0,900,20,Wheat,19:19:19 NPK
717,Kolhapur,Dark Brown,120,60,50,7.0,900,20,Wheat,19:19:19 NPK
718,Kolhapur,Dark Brown,100,65,55,7.5,1000,25,Wheat,19:19:19 NPK
720,Kolhapur,Dark Brown,110,65,55,7.5,1000,25,Wheat,19:19:19 NPK
721,Kolhapur,Dark Brown,115,65,55,7.5,1000,25,Wheat,19:19:19 NPK
722,Kolhapur,Dark Brown,120,65,55,7.5,1000,25,Wheat,19:19:19 NPK
723,Kolhapur,Dark Brown,100,70,60,6.0,500,15,Wheat,19:19:19 NPK
725,Kolhapur,Dark Brown,110,70,60,6.0,500,15,Wheat,19:19:19 NPK
727,Kolhapur,Dark Brown,120,70,60,6.0,500,15,Wheat,19:19:19 NPK
728,Kolhapur,Dark Brown,100,75,40,6.5,600,20,Wheat,19:19:19 NPK
736,Kolhapur,Dark Brown,115,80,45,7.0,700,25,Wheat,19:19:19 NPK
737,Kolhapur,Dark Brown,120,80,45,7.0,700,25,Wheat,19:19:19 NPK
738,Kolhapur,Dark Brown,100,60,55,7.5,800,15,Wheat,Urea
740,Kolhapur,Dark Brown,110,60,55,7.5,800,15,Wheat,Urea
742,Kolhapur,Dark Brown,120,60,55,7.5,800,15,Wheat,Urea
744,Kolhapur,Dark Brown,105,65,60,6.0,900,20,Wheat,Urea
745,Kolhapur,Dark Brown,110,65,60,6.0,900,20,Wheat,Urea
747,Kolhapur,Dark Brown,120,65,60,6.0,900,20,Wheat,Urea
750,Kolhapur,Dark Brown,110,70,40,6.5,1000,25,Wheat,Urea
753,Kolhapur,Dark Brown,100,75,45,7.0,500,15,Wheat,Urea
757,Kolhapur,Dark Brown,120,75,45,7.0,500,15,Wheat,Urea
758,Kolhapur,Dark Brown,100,80,50,7.5,600,20,Wheat,Urea
759,Kolhapur,Dark Brown,105,80,50,7.5,600,20,Wheat,Urea
761,Kolhapur,Dark Brown,115,80,50,7.5,600,20,Wheat,Urea
763,Kolhapur,Dark Brown,100,60,60,6.0,700,25,Wheat,19:19:19 NPK
765,Kolhapur,Dark Brown,110,60,60,6.0,700,25,Wheat,19:19:19 NPK
767,Kolhapur,Dark Brown,120,60,60,6.0,700,25,Wheat,19:19:19 NPK
768,Kolhapur,Dark Brown,100,65,40,6.5,800,15,Wheat,19:19:19 NPK
770,Kolhapur,Dark Brown,110,65,40,6.5,800,15,Wheat,19:19:19 NPK
772,Kolhapur,Dark Brown,120,65,40,6.5,800,15,Wheat,19:19:19 NPK
773,Kolhapur,Dark Brown,100,70,45,7.0,900,20,Wheat,19:19:19 NPK
775,Kolhapur,Dark Brown,110,70,45,7.0,900,20,Wheat,19:19:19 NPK
783,Kolhapur,Dark Brown,100,80,55,6.0,500,15,Wheat,19:19:19 NPK
787,Kolhapur,Dark Brown,120,80,55,6.0,500,15,Wheat,19:19:19 NPK
788,Kolhapur,Dark Brown,100,40,40,6.0,500,15,Wheat,Urea
789,Kolhapur,Dark Brown,105,40,40,6.0,500,15,Wheat,Urea
792,Kolhapur,Dark Brown,120,40,40,6.0,500,15,Wheat,Urea
794,Kolhapur,Dark Brown,105,45,45,6.5,600,20,Wheat,Urea
795,Kolhapur,Dark Brown,110,45,45,6.5,600,20,Wheat,Urea
797,Kolhapur,Dark Brown,120,45,45,6.5,600,20,Wheat,Urea
800,Kolhapur,Dark Brown,110,50,50,7.0,700,25,Wheat,Urea
802,Kolhapur,Dark Brown,120,50,50,7.0,700,25,Wheat,Urea
803,Kolhapur,Dark Brown,100,55,55,7.5,800,15,Wheat,Urea
805,Kolhapur,Dark Brown,110,55,55,7.5,800,15,Wheat,Urea
811,Kolhapur,Dark Brown,115,60,60,6.0,900,20,Wheat,Urea
814,Kolhapur,Dark Brown,105,40,45,6.5,1000,25,Wheat,19:19:19 NPK
818,Kolhapur,Dark Brown,100,45,50,7.0,500,15,Wheat,19:19:19 NPK
819,Kolhapur,Dark Brown,105,45,50,7.0,500,15,Wheat,19:19:19 NPK
820,Kolhapur,Dark Brown,110,45,50,7.0,500,15,Wheat,19:19:19 NPK
825,Kolhapur,Dark Brown,110,50,55,7.5,600,20,Wheat,19:19:19 NPK
826,Kolhapur,Dark Brown,115,50,55,7.5,600,20,Wheat,19:19:19 NPK
827,Kolhapur,Dark Brown,120,50,55,7.5,600,20,Wheat,19:19:19 NPK
831,Kolhapur,Dark Brown,115,55,60,6.0,700,25,Wheat,19:19:19 NPK
832,Kolhapur,Dark Brown,120,55,60,6.0,700,25,Wheat,19:19:19 NPK
833,Kolhapur,Dark Brown,100,60,40,6.5,800,15,Wheat,19:19:19 NPK
835,Kolhapur,Dark Brown,110,60,40,6.5,800,15,Wheat,19:19:19 NPK
837,Kolhapur,Dark Brown,120,60,40,6.5,800,15,Wheat,19:19:19 NPK
839,Kolhapur,Dark Brown,105,40,50,7.0,900,20,Wheat,Urea
842,Kolhapur,Dark Brown,120,40,50,7.0,900,20,Wheat,Urea
843,Kolhapur,Dark Brown,100,45,55,7.5,1000,25,Wheat,Urea
844,Kolhapur,Dark Brown,105,45,55,7.5,1000,25,Wheat,Urea
848,Kolhapur,Dark Brown,100,50,60,6.0,500,15,Wheat,Urea
849,Kolhapur,Dark Brown,105,50,60,6.0,500,15,Wheat,Urea
850,Kolhapur,Dark Brown,110,50,60,6.0,500,15,Wheat,Urea
851,Kolhapur,Dark Brown,115,50,60,6.0,500,15,Wheat,Urea
853,Kolhapur,Dark Brown,100,55,40,6.5,600,20,Wheat,Urea
854,Kolhapur,Dark Brown,105,55,40,6.5,600,20,Wheat,Urea
855,Kolhapur,Dark Brown,110,55,40,6.5,600,20,Wheat,Urea
857,Kolhapur,Dark Brown,120,55,40,6.5,600,20,Wheat,Urea
858,Kolhapur,Dark Brown,100,60,45,7.0,700,25,Wheat,Urea
863,Kolhapur,Dark Brown,100,40,55,7.5,800,15,Wheat,19:19:19 NPK
867,Kolhapur,Dark Brown,120,40,55,7.5,800,15,Wheat,19:19:19 NPK
868,Kolhapur,Dark Brown,100,45,60,6.0,900,20,Wheat,19:19:19 NPK
870,Kolhapur,Dark Brown,110,45,60,6.0,900,20,Wheat,19:19:19 NPK
871,Kolhapur,Dark Brown,115,45,60,6.0,900,20,Wheat,19:19:19 NPK
873,Kolhapur,Dark Brown,100,50,40,6.5,1000,25,Wheat,19:19:19 NPK
874,Kolhapur,Dark Brown,105,50,40,6.5,1000,25,Wheat,19:19:19 NPK
875,Kolhapur,Dark Brown,110,50,40,6.5,1000,25,Wheat,19:19:19 NPK
876,Kolhapur,Dark Brown,115,50,40,6.5,1000,25,Wheat,19:19:19 NPK
877,Kolhapur,Dark Brown,120,50,40,6.5,1000,25,Wheat,19:19:19 NPK
880,Kolhapur,Dark Brown,110,55,45,7.0,500,15,Wheat,19:19:19 NPK
882,Kolhapur,Dark Brown,120,55,45,7.0,500,15,Wheat,19:19:19 NPK
884,Kolhapur,Dark Brown,105,60,50,7.5,600,20,Wheat,19:19:19 NPK
888,Kolhapur,Dark Brown,100,40,60,6.0,700,25,Wheat,Urea
889,Kolhapur,Dark Brown,105,40,60,6.0,700,25,Wheat,Urea
893,Kolhapur,Dark Brown,100,45,40,6.5,800,15,Wheat,Urea
896,Kolhapur,Dark Brown,115,45,40,6.5,800,15,Wheat,Urea
902,Kolhapur,Dark Brown,120,50,45,7.0,900,20,Wheat,Urea
903,Kolhapur,Dark Brown,100,55,50,7.5,1000,25,Wheat,Urea
906,Kolhapur,Dark Brown,115,55,50,7.5,1000,25,Wheat,Urea
911,Kolhapur,Dark Brown,115,60,55,6.0,500,15,Wheat,Urea
912,Kolhapur,Dark Brown,120,60,55,6.0,500,15,Wheat,Urea
915,Kolhapur,Dark Brown,70,40,40,6.0,500,15,Wheat,19:19:19 NPK
918,Kolhapur,Dark Brown,85,40,40,6.0,500,15,Wheat,19:19:19 NPK
919,Kolhapur,Dark Brown,90,40,40,6.0,500,15,Wheat,19:19:19 NPK
921,Kolhapur,Dark Brown,100,40,40,6.0,500,15,Wheat,19:19:19 NPK
923,Kolhapur,Dark Brown,65,45,45,6.5,600,20,Wheat,19:19:19 NPK
924,Kolhapur,Dark Brown,70,45,45,6.5,600,20,Wheat,19:19:19 NPK
925,Kolhapur,Dark Brown,75,45,45,6.5,600,20,Wheat,19:19:19 NPK
926,Kolhapur,Dark Brown,80,45,45,6.5,600,20,Wheat,19:19:19 NPK
927,Kolhapur,Dark Brown,85,45,45,6.5,600,20,Wheat,19:19:19 NPK
928,Kolhapur,Dark Brown,90,45,45,6.5,600,20,Wheat,19:19:19 NPK
929,Kolhapur,Dark Brown,95,45,45,6.5,600,20,Wheat,19:19:19 NPK
931,Kolhapur,Dark Brown,60,55,55,7.0,700,25,Wheat,19:19:19 NPK
932,Kolhapur,Dark Brown,65,55,55,7.0,700,25,Wheat,19:19:19 NPK
935,Kolhapur,Dark Brown,80,55,55,7.0,700,25,Wheat,19:19:19 NPK
936,Kolhapur,Dark Brown,85,55,55,7.0,700,25,Wheat,19:19:19 NPK
937,Kolhapur,Dark Brown,90,55,55,7.0,700,25,Wheat,19:19:19 NPK
939,Kolhapur,Dark Brown,100,55,55,7.0,700,25,Wheat,Urea
942,Kolhapur,Dark Brown,70,60,60,7.5,800,15,Wheat,Urea
944,Kolhapur,Dark Brown,80,60,60,7.5,800,15,Wheat,Urea
948,Kolhapur,Dark Brown,100,60,60,7.5,800,15,Wheat,Urea
949,Kolhapur,Dark Brown,60,40,45,6.0,900,20,Wheat,Urea
952,Kolhapur,Dark Brown,75,40,45,6.0,900,20,Wheat,Urea
954,Kolhapur,Dark Brown,85,40,45,6.0,900,20,Wheat,Urea
958,Kolhapur,Dark Brown,60,45,50,6.5,1000,25,Wheat,Urea
959,Kolhapur,Dark Brown,65,45,50,6.5,1000,25,Wheat,Urea
960,Kolhapur,Dark Brown,70,45,50,6.5,1000,25,Wheat,Urea
961,Kolhapur,Dark Brown,75,45,50,6.5,1000,25,Wheat,Urea
963,Kolhapur,Dark Brown,85,45,50,6.5,1000,25,Wheat,19:19:19 NPK
966,Kolhapur,Dark Brown,100,45,50,6.5,1000,25,Wheat,19:19:19 NPK
967,Kolhapur,Dark Brown,60,55,60,7.0,500,15,Wheat,19:19:19 NPK
968,Kolhapur,Dark Brown,65,55,60,7.0,500,15,Wheat,19:19:19 NPK
970,Kolhapur,Dark Brown,75,55,60,7.0,500,15,Wheat,19:19:19 NPK
971,Kolhapur,Dark Brown,80,55,60,7.0,500,15,Wheat,19:19:19 NPK
972,Kolhapur,Dark Brown,85,55,60,7.0,500,15,Wheat,19:19:19 NPK
974,Kolhapur,Dark Brown,95,55,60,7.0,500,15,Wheat,19:19:19 NPK
975,Kolhapur,Dark Brown,100,55,60,7.0,500,15,Wheat,19:19:19 NPK
977,Kolhapur,Dark Brown,65,40,50,7.5,600,20,Wheat,19:19:19 NPK
978,Kolhapur,Dark Brown,70,40,50,7.5,600,20,Wheat,19:19:19 NPK
979,Kolhapur,Dark Brown,75,40,50,7.5,600,20,Wheat,19:19:19 NPK
984,Kolhapur,Dark Brown,100,40,50,7.5,600,20,Wheat,19:19:19 NPK
986,Kolhapur,Dark Brown,65,50,60,6.0,700,25,Wheat,19:19:19 NPK
989,Kolhapur,Dark Brown,80,50,60,6.0,700,25,Wheat,Urea
990,Kolhapur,Dark Brown,85,50,60,6.0,700,25,Wheat,Urea
991,Kolhapur,Dark Brown,90,50,60,6.0,700,25,Wheat,Urea
992,Kolhapur,Dark Brown,95,50,60,6.0,700,25,Wheat,Urea
993,Kolhapur,Dark Brown,100,50,60,6.0,700,25,Wheat,Urea
996,Kolhapur,Dark Brown,70,55,40,6.5,800,15,Wheat,Urea
997,Kolhapur,Dark Brown,75,55,40,6.5,800,15,Wheat,Urea
1002,Kolhapur,Dark Brown,100,55,40,6.5,800,15,Wheat,Urea
1007,Kolhapur,Dark Brown,80,60,45,7.0,900,20,Wheat,Urea
1013,Kolhapur,Dark Brown,65,40,55,7.5,1000,25,Wheat,19:19:19 NPK
1016,Kolhapur,Dark Brown,80,40,55,7.5,1000,25,Wheat,19:19:19 NPK
1017,Kolhapur,Dark Brown,85,40,55,7.5,1000,25,Wheat,19:19:19 NPK
1018,Kolhapur,Dark Brown,90,40,55,7.5,1000,25,Wheat,19:19:19 NPK
1020,Kolhapur,Dark Brown,100,40,55,7.5,1000,25,Wheat,19:19:19 NPK
1023,Kolhapur,Dark Brown,70,45,60,6.0,500,15,Wheat,19:19:19 NPK
1026,Kolhapur,Dark Brown,85,45,60,6.0,500,15,Wheat,19:19:19 NPK
1030,Kolhapur,Dark Brown,60,50,40,6.5,600,20,Wheat,19:19:19 NPK
1031,Kolhapur,Dark Brown,65,50,40,6.5,600,20,Wheat,19:19:19 NPK
1033,Kolhapur,Dark Brown,75,50,40,6.5,600,20,Wheat,19:19:19 NPK
1034,Kolhapur,Dark Brown,80,50,40,6.5,600,20,Wheat,19:19:19 NPK
1036,Kolhapur,Dark Brown,90,50,40,6.5,600,20,Wheat,19:19:19 NPK
1039,Kolhapur,Dark Brown,60,55,45,7.0,700,25,Wheat,Urea
1040,Kolhapur,Dark Brown,65,55,45,7.0,700,25,Wheat,Urea
1042,Kolhapur,Dark Brown,75,55,45,7.0,700,25,Wheat,Urea
1043,Kolhapur,Dark Brown,80,55,45,7.0,700,25,Wheat,Urea
1044,Kolhapur,Dark Brown,85,55,45,7.0,700,25,Wheat,Urea
1048,Kolhapur,Dark Brown,60,60,50,7.5,800,15,Wheat,Urea
1049,Kolhapur,Dark Brown,65,60,50,7.5,800,15,Wheat,Urea
1050,Kolhapur,Dark Brown,70,60,50,7.5,800,15,Wheat,Urea
1051,Kolhapur,Dark Brown,75,60,50,7.5,800,15,Wheat,Urea
1052,Kolhapur,Dark Brown,80,60,50,7.5,800,15,Wheat,Urea
1054,Kolhapur,Dark Brown,90,60,50,7.5,800,15,Wheat,Urea
1055,Kolhapur,Dark Brown,95,60,50,7.5,800,15,Wheat,Urea
1059,Kolhapur,Dark Brown,70,40,60,6.0,900,20,Wheat,Urea
1062,Kolhapur,Dark Brown,85,40,60,6.0,900,20,Wheat,Urea
1063,Kolhapur,Dark Brown,90,40,60,6.0,900,20,Wheat,19:19:19 NPK
1065,Kolhapur,Dark Brown,100,40,60,6.0,900,20,Wheat,19:19:19 NPK
1066,Kolhapur,Dark Brown,60,45,40,6.5,1000,25,Wheat,19:19:19 NPK
1070,Kolhapur,Dark Brown,80,45,40,6.5,1000,25,Wheat,19:19:19 NPK
1071,Kolhapur,Dark Brown,85,45,40,6.5,1000,25,Wheat,19:19:19 NPK
1074,Kolhapur,Dark Brown,100,45,40,6.5,1000,25,Wheat,19:19:19 NPK
1077,Kolhapur,Dark Brown,70,50,45,7.0,500,15,Wheat,19:19:19 NPK
1079,Kolhapur,Dark Brown,80,50,45,7.0,500,15,Wheat,19:19:19 NPK
1081,Kolhapur,Dark Brown,90,50,45,7.0,500,15,Wheat,19:19:19 NPK
1082,Kolhapur,Dark Brown,95,50,45,7.0,500,15,Wheat,19:19:19 NPK
1083,Kolhapur,Dark Brown,100,50,45,7.0,500,15,Wheat,19:19:19 NPK
1084,Kolhapur,Dark Brown,60,55,50,7.5,600,20,Wheat,19:19:19 NPK
1087,Kolhapur,Dark Brown,75,55,50,7.5,600,20,Wheat,19:19:19 NPK
1090,Kolhapur,Dark Brown,90,55,50,7.5,600,20,Wheat,Urea
1093,Kolhapur,Dark Brown,60,60,55,6.0,700,25,Wheat,Urea
1094,Kolhapur,Dark Brown,65,60,55,6.0,700,25,Wheat,Urea
1096,Kolhapur,Dark Brown,75,60,55,6.0,700,25,Wheat,Urea
1100,Kolhapur,Dark Brown,95,60,55,6.0,700,25,Wheat,Urea
1101,Kolhapur,Dark Brown,100,60,55,6.0,700,25,Wheat,Urea
1103,Kolhapur,Black,25,30,20,6.0,500,25,Groundnut,Chilated Micronutrient
1105,Kolhapur,Black,20,35,25,6.5,600,30,Groundnut,Chilated Micronutrient
1107,Kolhapur,Black,30,35,25,6.5,600,30,Groundnut,Chilated Micronutrient
1108,Kolhapur,Black,20,40,20,7.0,500,25,Groundnut,Chilated Micronutrient
1111,Kolhapur,Black,20,30,25,7.5,600,30,Groundnut,SSP
1114,Kolhapur,Black,20,35,20,6.0,500,25,Groundnut,SSP
1116,Kolhapur,Black,30,35,20,6.0,500,25,Groundnut,SSP
1118,Kolhapur,Black,25,40,25,6.5,600,30,Groundnut,SSP
1121,Kolhapur,Black,55,25,30,6.0,500,25,Groundnut,Chilated Micronutrient
1123,Kolhapur,Black,50,30,35,6.5,600,30,Groundnut,Chilated Micronutrient
1126,Kolhapur,Black,50,25,40,7.0,500,25,Groundnut,Chilated Micronutrient
1128,Kolhapur,Black,60,25,40,7.0,500,25,Groundnut,Chilated Micronutrient
1129,Kolhapur,Black,50,30,30,7.5,600,30,Groundnut,SSP
1130,Kolhapur,Black,55,30,30,7.5,600,30,Groundnut,SSP
1132,Kolhapur,Black,50,25,35,6.0,500,25,Groundnut,SSP
1133,Kolhapur,Black,55,25,35,6.0,500,25,Groundnut,SSP
1136,Kolhapur,Black,55,30,40,6.5,600,30,Groundnut,SSP
1139,Kolhapur,Black,45,20,20,5.5,500,25,Groundnut,Chilated Micronutrient
1141,Kolhapur,Black,40,30,30,6.0,600,30,Groundnut,Chilated Micronutrient
1144,Kolhapur,Black,40,20,30,6.5,500,25,Groundnut,Chilated Micronutrient
1145,Kolhapur,Black,45,20,30,6.5,500,25,Groundnut,Chilated Micronutrient
1146,Kolhapur,Black,50,20,30,6.5,500,25,Groundnut,Chilated Micronutrient
1149,Kolhapur,Black,50,30,20,7.0,600,30,Groundnut,SSP
1150,Kolhapur,Dark Brown,120,60,40,6.0,500,20,Maize,Urea
1151,Kolhapur,Dark Brown,125,60,40,6.0,500,20,Maize,Urea
1152,Kolhapur,Dark Brown,130,60,40,6.0,500,20,Maize,Urea
1153,Kolhapur,Dark Brown,135,60,40,6.0,500,20,Maize,Urea
1155,Kolhapur,Dark Brown,145,60,40,6.0,500,20,Maize,Urea
1157,Kolhapur,Dark Brown,120,65,45,6.5,600,25,Maize,Urea
1159,Kolhapur,Dark Brown,130,65,45,6.5,600,25,Maize,Urea
1161,Kolhapur,Dark Brown,140,65,45,6.5,600,25,Maize,Urea
1162,Kolhapur,Dark Brown,145,65,45,6.5,600,25,Maize,Urea
1164,Kolhapur,Dark Brown,120,70,50,7.0,700,30,Maize,Urea
1166,Kolhapur,Dark Brown,130,70,50,7.0,700,30,Maize,Urea
1168,Kolhapur,Dark Brown,140,70,50,7.0,700,30,Maize,Urea
1171,Kolhapur,Dark Brown,120,75,55,7.5,500,20,Maize,Urea
1172,Kolhapur,Dark Brown,125,75,55,7.5,500,20,Maize,Urea
1175,Kolhapur,Dark Brown,140,75,55,7.5,500,20,Maize,Urea
1176,Kolhapur,Dark Brown,145,75,55,7.5,500,20,Maize,Urea
1178,Kolhapur,Dark Brown,120,80,60,6.0,600,25,Maize,Urea
1181,Kolhapur,Dark Brown,135,80,60,6.0,600,25,Maize,Urea
1182,Kolhapur,Dark Brown,140,80,60,6.0,600,25,Maize,Urea
1183,Kolhapur,Dark Brown,145,80,60,6.0,600,25,Maize,Urea
1184,Kolhapur,Dark Brown,150,80,60,6.0,600,25,Maize,Urea
1185,Kolhapur,Dark Brown,120,60,45,6.5,700,30,Maize,SSP
1186,Kolhapur,Dark Brown,125,60,45,6.5,700,30,Maize,SSP
1188,Kolhapur,Dark Brown,135,60,45,6.5,700,30,Maize,SSP
1189,Kolhapur,Dark Brown,140,60,45,6.5,700,30,Maize,SSP
1190,Kolhapur,Dark Brown,145,60,45,6.5,700,30,Maize,SSP
1191,Kolhapur,Dark Brown,150,60,45,6.5,700,30,Maize,SSP
1192,Kolhapur,Dark Brown,120,65,50,7.0,500,20,Maize,SSP
1194,Kolhapur,Dark Brown,130,65,50,7.0,500,20,Maize,SSP
1195,Kolhapur,Dark Brown,135,65,50,7.0,500,20,Maize,SSP
1197,Kolhapur,Dark Brown,145,65,50,7.0,500,20,Maize,SSP
1198,Kolhapur,Dark Brown,150,65,50,7.0,500,20,Maize,SSP
1203,Kolhapur,Dark Brown,140,70,55,7.5,600,25,Maize,SSP
1204,Kolhapur,Dark Brown,145,70,55,7.5,600,25,Maize,SSP
1207,Kolhapur,Dark Brown,125,75,60,6.0,700,30,Maize,SSP
1208,Kolhapur,Dark Brown,130,75,60,6.0,700,30,Maize,SSP
1209,Kolhapur,Dark Brown,135,75,60,6.0,700,30,Maize,SSP
1210,Kolhapur,Dark Brown,140,75,60,6.0,700,30,Maize,SSP
1211,Kolhapur,Dark Brown,145,75,60,6.0,700,30,Maize,SSP
1213,Kolhapur,Dark Brown,120,80,40,6.5,500,20,Maize,SSP
1214,Kolhapur,Dark Brown,125,80,40,6.5,500,20,Maize,SSP
1217,Kolhapur,Dark Brown,140,80,40,6.5,500,20,Maize,SSP
1218,Kolhapur,Dark Brown,145,80,40,6.5,500,20,Maize,SSP
1219,Kolhapur,Dark Brown,150,80,40,6.5,500,20,Maize,SSP
1220,Kolhapur,Dark Brown,120,60,50,7.0,600,25,Maize,MOP
1222,Kolhapur,Dark Brown,130,60,50,7.0,600,25,Maize,MOP
1223,Kolhapur,Dark Brown,135,60,50,7.0,600,25,Maize,MOP
1225,Kolhapur,Dark Brown,145,60,50,7.0,600,25,Maize,MOP
1226,Kolhapur,Dark Brown,150,60,50,7.0,600,25,Maize,MOP
1230,Kolhapur,Dark Brown,135,65,55,7.5,700,30,Maize,MOP
1231,Kolhapur,Dark Brown,140,65,55,7.5,700,30,Maize,MOP
1232,Kolhapur,Dark Brown,145,65,55,7.5,700,30,Maize,MOP
1240,Kolhapur,Dark Brown,150,70,60,6.0,500,20,Maize,MOP
1242,Kolhapur,Dark Brown,125,75,40,6.5,600,25,Maize,MOP
1244,Kolhapur,Dark Brown,135,75,40,6.5,600,25,Maize,MOP
1246,Kolhapur,Dark Brown,145,75,40,6.5,600,25,Maize,MOP
1248,Kolhapur,Dark Brown,120,80,45,7.0,700,30,Maize,MOP
1252,Kolhapur,Dark Brown,140,80,45,7.0,700,30,Maize,MOP
1253,Kolhapur,Dark Brown,145,80,45,7.0,700,30,Maize,MOP
1258,Kolhapur,Dark Brown,135,60,55,7.5,500,20,Maize,Urea
1259,Kolhapur,Dark Brown,140,60,55,7.5,500,20,Maize,Urea
1260,Kolhapur,Dark Brown,145,60,55,7.5,500,20,Maize,Urea
1261,Kolhapur,Dark Brown,150,60,55,7.5,500,20,Maize,Urea
1263,Kolhapur,Dark Brown,125,65,60,6.0,600,25,Maize,Urea
1268,Kolhapur,Dark Brown,150,65,60,6.0,600,25,Maize,Urea
1269,Kolhapur,Dark Brown,120,70,40,6.5,700,30,Maize,Urea
1270,Kolhapur,Dark Brown,125,70,40,6.5,700,30,Maize,Urea
1273,Kolhapur,Dark Brown,140,70,40,6.5,700,30,Maize,Urea
1274,Kolhapur,Dark Brown,145,70,40,6.5,700,30,Maize,Urea
1275,Kolhapur,Dark Brown,150,70,40,6.5,700,30,Maize,Urea
1276,Kolhapur,Dark Brown,120,75,45,7.0,500,20,Maize,Urea
1277,Kolhapur,Dark Brown,125,75,45,7.0,500,20,Maize,Urea
1278,Kolhapur,Dark Brown,130,75,45,7.0,500,20,Maize,Urea
1280,Kolhapur,Dark Brown,140,75,45,7.0,500,20,Maize,Urea
1284,Kolhapur,Dark Brown,125,80,50,7.5,600,25,Maize,Urea
1285,Kolhapur,Dark Brown,130,80,50,7.5,600,25,Maize,Urea
1286,Kolhapur,Dark Brown,135,80,50,7.5,600,25,Maize,Urea
1288,Kolhapur,Dark Brown,145,80,50,7.5,600,25,Maize,Urea
1289,Kolhapur,Dark Brown,150,80,50,7.5,600,25,Maize,Urea
1292,Kolhapur,Dark Brown,130,60,60,6.0,700,30,Maize,SSP
1293,Kolhapur,Dark Brown,135,60,60,6.0,700,30,Maize,SSP
1298,Kolhapur,Dark Brown,125,65,40,6.5,500,20,Maize,SSP
1302,Kolhapur,Dark Brown,145,65,40,6.5,500,20,Maize,SSP
1303,Kolhapur,Dark Brown,150,65,40,6.5,500,20,Maize,SSP
1308,Kolhapur,Dark Brown,140,70,45,7.0,600,25,Maize,SSP
1310,Kolhapur,Dark Brown,150,70,45,7.0,600,25,Maize,SSP
1311,Kolhapur,Dark Brown,120,75,50,7.5,700,30,Maize,SSP
1314,Kolhapur,Dark Brown,135,75,50,7.5,700,30,Maize,SSP
1318,Kolhapur,Dark Brown,120,80,55,6.0,500,20,Maize,SSP
1322,Kolhapur,Dark Brown,140,80,55,6.0,500,20,Maize,SSP
1324,Kolhapur,Dark Brown,150,80,55,6.0,500,20,Maize,SSP
1325,Kolhapur,Red,40,20,20,5.5,300,20,Tur,Urea
1326,Kolhapur,Red,45,20,20,5.5,300,20,Tur,Urea
1327,Kolhapur,Red,50,20,20,5.5,300,20,Tur,Urea
1331,Kolhapur,Red,40,30,30,6.5,300,30,Tur,Urea
1333,Kolhapur,Red,50,30,30,6.5,300,30,Tur,Urea
1334,Kolhapur,Red,40,20,25,5.5,400,20,Tur,MOP
1336,Kolhapur,Red,50,20,25,5.5,400,20,Tur,MOP
1337,Kolhapur,Red,40,25,30,6.0,300,25,Tur,MOP
1339,Kolhapur,Red,50,25,30,6.0,300,25,Tur,MOP
1341,Kolhapur,Red,45,30,20,6.5,400,30,Tur,MOP
1342,Kolhapur,Red,50,30,20,6.5,400,30,Tur,MOP
1344,Kolhapur,Red,45,20,30,5.5,300,20,Tur,SSP
1349,Kolhapur,Red,40,30,25,6.5,300,30,Tur,SSP
1351,Kolhapur,Red,50,30,25,6.5,300,30,Tur,SSP
1352,Kolhapur,Dark Brown,20,30,20,6.0,800,20,Urad,Urea
1353,Kolhapur,Dark Brown,25,30,20,6.0,800,20,Urad,Urea
1355,Kolhapur,Dark Brown,20,35,25,6.5,900,25,Urad,Urea
1358,Kolhapur,Dark Brown,20,40,30,7.0,1000,20,Urad,Urea
1359,Kolhapur,Dark Brown,25,40,30,7.0,1000,20,Urad,Urea
1362,Kolhapur,Dark Brown,25,30,25,6.0,800,25,Urad,SSP
1371,Kolhapur,Dark Brown,25,30,30,6.0,800,20,Urad,DAP
1372,Kolhapur,Dark Brown,30,30,30,6.0,800,20,Urad,DAP
1373,Kolhapur,Dark Brown,20,35,20,6.5,900,25,Urad,DAP
1374,Kolhapur,Dark Brown,25,35,20,6.5,900,25,Urad,DAP
1375,Kolhapur,Dark Brown,30,35,20,6.5,900,25,Urad,DAP
1376,Kolhapur,Dark Brown,20,40,25,7.0,1000,20,Urad,DAP
1377,Kolhapur,Dark Brown,25,40,25,7.0,1000,20,Urad,DAP
1378,Kolhapur,Dark Brown,30,40,25,7.0,1000,20,Urad,DAP
1379,Kolhapur,Light Brown,20,10,5,6.0,600,25,Moong,MOP
1381,Kolhapur,Light Brown,30,10,5,6.0,600,25,Moong,MOP
1383,Kolhapur,Light Brown,25,15,10,6.5,700,30,Moong,MOP
1386,Kolhapur,Light Brown,25,20,15,7.0,800,35,Moong,MOP
